,Tweets,Tweets_duygu
24, samet sayın cumhurbaşkanım erteleyinki bayram olsun turizm gençlikten önemli değildir ;,negatif
25,dedi ve yks tarihini turizm için öne çekti işte ;,pozitif
26, para bu kadar önemliyse gençliğin sağlığından adaylar bir kere daha tl versin bari turizm için ertelemenize gerek kalmaz ;,negatif
27,sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu ;,negatif
28,bugün saat nejla kurul ve eğitimsen şb bşk yurttaş yıldırım ile giderek büyüyen eğitim sorunlarını konuşacağız;,negatif
29, gercekten niye kimse cikip aciklama yapmiyor bari aciklama yapin sundan ertelemiyoruz turizm bi aciklayin ;,negatif
30, biz gençlerin hayallerini turizm için satmak yerine bize bırakacağınız geleceği güzelleştirebilmemiz için iş yapın;,negatif
31, turizm bakanından daha değerli olduğumuzu bu günde gösterin bize ;,negatif
32, çocuklarımızın geleceğini psikolojisini kaç paraya sattınız bu kadar öğrenci sizin turizm şirketi sahibi bakanınızın cebini doldurmak içinmi var ;,negatif
33, keşke bize turizm sizden önemlidir diye açıklama yapsanız en azından dürüst olursunuz ;,negatif
34, siz bilirsiniz ama benim bir fikrim var sınavı eylül ayına alın ne turizm zarar görsün ne egitim ;,negatif
35, hiçbir ülke turizm geliri için gençliğini ve geleceğini satmaz ;,negatif
36,bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm ;,negatif
37, turizm yokluğundan korkuyorsanız erteleyin ağustosa aytden çıkınca dağıtın herkese bayrak zafer bayramını kutlayalım ;,pozitif
38, ben turizm okudum ondan da bi bok olmuyor arkadaşlar sadece derste rakı şarap falan içip alkollü içecekler hakkında konuşuluyor;,negatif
39, çocuklarımız turizm gelirine kurban edilemez ;,negatif
40, hayır ama şuan  en sağlıklısı bu olacak ve diyoruz ki virüs tehlikesi geçene kadar olsun beklesinler bi ;,pozitif
41, bu çıkarcı düşüncelerinizle bu çocukları boğamayacaksınız gençleri yakıyorsunuz turizm iyi olmuş kime ne ;,negatif
42,  başkanı mehmet şahin neden dillendirmiyor bu turizm esnaflarının dükkan kiralarını ;,negatif
43, nisan  üzerinde ürüne ilave gümrük vergisi gelmişti bugün  pek çok üründe gümrük vergisi artırıldı ben ;,negatif
44, kktc açısından hem iyi bir gelişme hem de büyük başarı konu türkiye  girişimleriyle mümkünse dsö  tescil ettiri ;,pozitif
45, bekliyoruz serik  belediye başkanına rüşveti kimin verdiği ile ilgili turizm bakanının açıklamasını ;,negatif
46,covid pandemisinde kongre ve etkinliklere yaklaşımımız anketibsektörün nabzını birlikte tutalım   ;,pozitif
47,  turizm  hizmetlisine el öptürüp bahşiş verirken böyle görgüsüz ve insanlıktan çıkmış kişileri cezalandırın ;,negatif
48, olmadı öğrenciye ait tek cümle kurmadı çaydan bahsetti cumhur ittifakı dedi fetö dedi ama milyonlarca ögrenciyi turizme kurban etti;,negatif
49, uzmanlar yanıtladı turizm sektörü ve taşımacılık pandemiden sonra nasıl değişecek ;,negatif
50, aydogan dün turizm bakanı tiyatroların geleceği konusunda önemsiz açıklamalar yaptı ;,negatif
51, tami tamina senedir kicimi yirtiyorum sesimi duyurabilmek icin yuzlerce kez cimer e yazdim rte a mail fax gönderdim   ;,negatif
52, uzun yıllar tarihi dokusunu korumuş olan ceyhan köprüsü taş köprü çevresine yapmayı planladığımız kılavuzlu millet bahçesini istemiyoruz ;,negatif
53, turizm için eğitimi feda etmişler sen daha ne dersin neyden bahsedersin ;,negatif
54, nisan da in üzerinde ürüne ilave gümrük vergisi gelmişti bugün de pek çok üründe gümrük vergisi artırıldı ;,negatif
55, bu öğrencilerin sesini duyun artık turizm mi daha önemli yoksa insan canı mı ;,negatif
56, bu ogrencilerin ailelerinden aldıginiz yardimlar yetmedi mi de turizm ugruna geleceklerini yakiyosunuz ;,negatif
57, turizm şirketleri insan sağlığından önemli değildir ;,negatif
58, antalya da turizm ayağına yasakları kaldırdınız sokaklar full;,negatif
59, soruları turizm bakanı hazırlasın ;,negatif
60,türk gençleri olarak bu ülkede söz sahibi olmadığımızı ve turizm sektörünün yarının büyükleri olan bizden ağır bastı ;,negatif
61,en baştan beri bunu söylüyorum ama gidilecek bölgeler kısıtlı olmalı turizm alanlarına giriş engellenmeli sadece ;,negatif
62,turizm dekanları paneli canlı yayınını izleyemeyenler için link aşağıda yer almaktadır ;,negatif
63,her ne kadar bu isteklerde bulunan gençlerin bazılarının art niyetli ve nefsani duygularına katılmasam da alınan karar yanlış;,negatif
64, bizim savaştan önce eğitim diyen bi atamız vardı şimdi eğitimden önce turizm diyen yönetim var;,negatif
65, bütün umudum gençliktedir bu söz ne kadar anlamlı ve doğru değil mi bu söz tam da bu sene unutuldu ;,pozitif
66,eğitim kararlarını turizm bakanı nın aldığı nerede görüldü ;,negatif
67, lan tamam bari ağustosta yapın o zaman turizm de etkilenmez eylülde de tercihleri yaparız öğrenci düşmanı mısınız ya   ;,negatif
68, amaç turizmi değil şirketi olan turizm bakanını kurtarma çabasıdır ;,negatif
69, sanki temmuz ayında özellikle turizm beldelerinde ki işletmeler rahatlayacaktır;,negatif
70,yks siyasi iktidar tarafından turizm sezonu gerekçe gösterilerek ay öne çekildi ;,negatif
71, beyefendi virüs varken sırf turizm için sınavı öne çekmek mantıksızlık   ;,negatif
72, dünya turizm örgütü uluslararası turizmde bu yıl milyon ila milyar turist kaybı yaşanacak dedi;,negatif
73,turkiye sehir olarak antalya sektor olarakcilik bu viruse karsi her anlamda en hazir olandir   ;,negatif
74, imar planı onaylandı koruma amaçlı imar planı kültür ve turizm bakanlığı tarafından onaylandı   ;,negatif
75, turizm bakani ösym başkanı milli egitim bakanı ve özellikle cumhurbaşkani sizler özellikle bu karede net milyon twitle cevap vereceğiz ;,pozitif
76, bu çıkarcı düşüncelerinizle bu çocukları boğamayacaksınız gençleri yakıyorsunuz turizm iyi olmuş ;,negatif
77, yazıklar olsun ya daha ne denilebilir ki çay kadar turizm kadar değerimiz yokmuş ;,negatif
78, hatırlatma için teşekkür kim bilir daha neler var doğu karadeniz de bunu şimdi görüyorum bölge gelecek için ekoturizm ;,pozitif
79, ne okudun turizm senin oraya gelim de bana bi rus ayarla ;,pozitif
80, en baştan beri bunu söylüyorum ama gidilecek bölgeler kısıtlı olmalı turizm alanlarına giriş engellenmeli ;,negatif
81,avmler açılsın berberler güzellik salonları açılsın sınavlar öne çekilip öğrencilerin psikolojileri altüst edilsin ;,negatif
82, dogu avm çalışanları aktiftiler bir şekilde kısa ödenek alabiliyorlar   ;,negatif
83, turizmden açılsa da beklentimiz çok yüksek olmamalı biz gelecek turistten pcr talep etsek de turist gelirken acaba gidip yaparmı ;,negatif
84, ziya selçuk diyor yks bizimle ilgili değil yök ortalıkta yok bize turizm bakanı bakıyor ;,negatif
85, şile yi hem istanbul hem de türkiye ölçeğinde turizm destinasyonu haline getirmek en büyük arzumuz ;,pozitif
86,istanbul il kültür ve turizm müdürlüğümüzün ev sahipliğinde gerçekleşecek olan program sosyal medya hesaplarımızda;,pozitif
87, bana bak ösym vallahi çocukları bi salarım dışarıya virüs mirüs hak getire ondan sonra sınavlarda sorarsın   ;,negatif
88, turizm bakanınında bu kadar üzerine gelmeyin sonuçta etstur un sahibi ve milletten daha önemli işleri var ;,negatif
89, cahil yandaş ve yalanci adana daki zaten adı üstünde sahra hastanesi olduğu için acele alçıpan panellerle yapıldı;,negatif
90,turizm bölgesi ama senelerdir turizm yatırımından vazgeçtim altyapısı bile tam yapılmadı havaalanına sahil yolu açılmadı ;,negatif
91,hep beraber ya gidiyoruz japonya turizm ajansı temmuz ayı itibariyle ülkeyi ziyaret edecek olan turistlere promosyon verecekmiş ;,pozitif
92, bence bu yıl rusya dan turist beklentisini yükseltmeyelim bahanesiyle vatandaşlarının yurt dışına çıkışını teşvik etmeyin;,negatif
93,yks nin yarın yapılması için milyon tweet atalım bugün turizm bizden değerlidir önü açılsın ;,pozitif
94, bizim turizm ve hizmet sektörü istihdamın dan fazlasını karşılıyor çok büyük bir rakam mecburuz ;,negatif
95, şanlıurfa daki göbeklitepe the national geographic in mutlaka ziyaret edilmesi gereken yerler listesinde;,pozitif
96,bakan çavuşoğlu türkiye nin dış politikasını atatürk ün yurtta sulh cihanda sulh anlayışıyla sürdürüyoruz ;,pozitif
97,birazda turizm esnafının yanında olsanız çok seviniriz ;,negatif
98,ingiltere almanya fransa ile turizm dörtlü toplantısı yaptık bakan çavuşoğlu açıkladı;,pozitif
99,uçuş iptalleri oteller için iyi haber değil rusya ve almanya hava koridoru açılmadığı sürece turizm sezonu bitik;,negatif
100,italya dışişleri bakanı di maio haziran avrupa da turizm için kurtuluş günüdür dedi;,pozitif
101, japonya turizm ajansı temmuz ayı itibariyle ülkeyi ziyaret edecek olan turistlerin harcamalarının yarısının devlet tarafından karşılanacağını bildirdi ;,negatif
102, turkey kültür ve turizm bakan yardımcımız sn tr ramazan da yaklaşık ülkeye türkiye nin yardımlarını ulaştı ;,negatif
103,ingiltere almanya fransa ile turizm dörtlü toplantısı yaptık bakan çavuşoğlu açıkladı ;,pozitif
104,almanya ülkeye seyahat yasağını kaldırıyor ilk listede türkiye yok    ;,negatif
105, döviz ve altın alımına vergi koyup valör getiren işsizlik sayısı artan covid yüzünden tabii ki ;,negatif
106, ilerleyen günlerde ele alınabilecekler konulardan bir tanesi de turizm pandemi sonrası ekolojik turizm ;,negatif
107, arabası var liralık yardımın peşinden koşturuyor ;,negatif
108, rusya da covid vakaları hızla artıyor turizm sezonu açılınca rusya dan  hiç turist alınmamalı  ;,negatif
109, koronavirüs nedeniyle turizm sektörü sıkıntılı günler geçirse de yavaş yavaş normalleşme adımları atılmaya başlanıyor;,negatif
110, rusya devleti kendi vatandaşlarına ülkeyi terk etmeyin tatil için rusya içinde kalın ulaşım ve fiyat konularında tüm kolaylıklar sağlanacağı garantisini verdi;,pozitif
111,italya dışişleri bakanı haziran avrupa da turizm için kurtuluş günü olacağını idda etti;,negatif
112, klaus schmidt den sonraki döneme ait bilgilere tam olarak hakim değiliz  ;,negatif
113, turizm bakanlığının israil in yeni turizm bakanı ile görüşmesi halinde türkiye yi de seyahat edilebileceklerini bildirdi ;,negatif
114, bizleri ya salin ya öldürün yeter bu iskence ceza herkese bi kolaylik var bize neden yok ;,negatif
115, uçak şirketi ve ets tur un sahibi turizm bakanı medipol hastaneleri nin sahibi sağlık bakanı maya okullarının sahibi meb bakanı ne güzel şirket değilmi;,pozitif
116, turizm bakanlığının manavgat kızılağaç kum mevki bölgesindeki yaptığı planlamayla kentin sahil ile bağlantısı kapatılıyor ;,negatif
117, turizm canlansin diye her turlu kolayligi sagliyorsun bizleri de düşünün ;,pozitif
118, hiçbir şey olmasa da kesin bir şeyler olmuş sandıklar bir daha sayılmalı turizm canlanmalı ;,negatif
119, pandemi en başta hizmet sektörünü çok ağır bir şekilde vurdu  ;,negatif
120,pamukkale turizm seferleri başlıyor ;,pozitif
121, ilgili belediyelerin sosyal medya yönetimleri sıfır türkçe bilgileri zaten yok ha ;,negatif
122, haziran avrupa da turizm için kurtuluş günü ;,pozitif
123, manavgat a golf sahası değil yat limani ve yat çekek ve imalati ihtisas edilmeli artık;,negatif
124,alanya da turizm için kötü haber ;,negatif
125,son yılda türkiye tarihinin ve dünyanın en iyi ulaşım başarısına en iyi turizm başarısına sahip olabiliriz;,pozitif
126, ktv de türkiye nin turizm geleceğini konuşuyoruz yoğun istek üzerine tekrarı yayınlanıyor bence kaçırmayın ;,pozitif
127, imamoglu başkan seni listeye almamışlar kültür ve turizm bakanlığı ve tatil en çok sana yakışıyor   ;,pozitif
128,kapadokya da ki aziz jean kilisesi çok şey anlatıyor  ;,pozitif
129,fıjet başkanı tijani haddad ile uluslararası turizm ve covid sohbetileri ;,pozitif
130, zumi için bu süreç bir şans doğa öko ve slow turizm gibi ;,pozitif
131,nasıl önemi yok ama lafla peynir gemisi yürüyebilecek mi maliyetlere etkisi ne olacak   ;,negatif
132,büyükşehir den turizm atağı ;,negatif
133, turizm patlaması yaşanacak kesin şaka lan şaka ne patlaması yandaş firma restorasyon cukkası kaldıracak sadece ;,negatif
134, haber kanallarında plajlar oteller tüm ihtişamıyla gösteriliyor ancak o ihtişamı yaratanların ne adını biliyorlar ne de emeğini;,negatif
135,havayolu ve turizm şirket hisseleri tavan yaptı;,negatif
136,koronavirüs nedeniyle turizm sektörü sıkıntılı günler geçirse de yavaş yavaş normalleşme adımları atılmaya başlandı ;,negatif
137,ortamlarda eskort kızları doldurup grup seks yapan ama twitter da dinci rolü yapan siyasilerin varlığından yeni haberdar olan insanları görüyorum;,negatif
138,muhteşem erciyes ve turizm merkezi kayseri erciyesimizin bulutlarla dansı ;,pozitif
139,ulaştırma ve altyapı bakanı adil karaismailoğlu yeni tip koronavirüs kovid salgını nedeniyle mart ayında durdurulan uçak seferlerinin haziran da yeniden başlayacağını bildirdi   ;,negatif
140, milli park ve tabiat parkı haziran da ziyarete açılacak  ;,pozitif
141, selamlar pazartesi plajlar halka açılıyorşu an bitez halk plajındayım belediye olarak hiçbir hazırlık göremedim kumsal ot çöp pislik içindebir günde sihirli değnek mi varfotoğraf paylaşmaya utandım ;,negatif
142,sektör temsilcilerinden turizm bakanlığına turist bilgilendirme çağrısı  ;,pozitif
143,sertifikasyonlu turizm tesislerinde pandemiden uzak güvenli ortam sağlanacak dünyada ilk kez yapılan bu sistem çerçevesinde konuklarımızı ağırlayıp salimen ülkelerine göndereceğiz bakan yardımcımızın röportajı ;,pozitif
144, haziran pazartesi günün den itibaren yunanistan vize başvuruları izmir den kabul edilmeye başlıyor seyahat tarihleri ağustos den sonrası için planlanmalı  ;,pozitif
145,postcovid için kayıplara değil fırsatlara odaklanmak turizm in sadece gezmek görmek olmadığı çok daha kapsamlı bir ifadeyle ziyaretçi ekonomisi olduğu ve ekonomik sosyal kültürel hayatımızda derin izlerinin bulunduğu bilinci yerleşti sektörün bunu değerlendirmesi  lazım;,pozitif
146,türk hava yolları haziran da bazı yurtdışı seferlerine yeniden başlayacak bu ülkelerden bir tanesi çin  ;,negatif
147,alanyali turizmciler sertifika için ne kadar ödeyecek  ;,pozitif
148,turizm rus turistlerin tercihi yine türkiye rus tatilcilerin turizm ajansının sitesinde bu ay yaptıkları tatil aramalarında yüzde lük payla türkiye açık ara birinci oldu ;,pozitif
149,türkiye kaldığı yerden devam ediyor başarıyla geride bırakılan pandemi sürecinden sonra turizm sektörü yeniden başlıyor müze ve ören yerlerimiz sizleri bekliyor ;,pozitif
150,vangölü güneyi dağları doğa turizmine yönelik çok farklı alternatifler sunuyor demedi demeyin  ;,pozitif
151,rusya dan turizmciyi sevindiren haber ;,pozitif
152,tui temmuz a kadar yurt dışına turist götürmeyi erteledi;,negatif
153,yunanistan haziran da turizme açılıyor açıklanan ülkelik listede türkiye hariç tüm komşular için ülkeye giriş izni var ;,pozitif
154,ruslar tatil planı yapıyor türkiye açık ara birinci   ;,pozitif
155, gökçeada imroz merkez de haziran da açılıyor haftasonu turizm sezonu açıldı ;,pozitif
156,covid virüsü kaynaklı salgının şehrimizin turizmi üzerinde yarattığı olumsuzlukları minimize etmek ve bir yol haritası belirlemek üzere valimiz büyükşehir belediye başkanımız milletvekillerimiz ve elbette turizm temsilcilerimizle çok verimli bir toplantı gerçekleştirdik ;,negatif
157,güzelliğine güzellik katacak elazığ ın teşekkürler elazığ ;,pozitif
158,covid sürecinden sonra türkiye saglık turizm konusunda ciddi adımlar atmalı son dönemde büyük bir sınavı atlattık turizm gelirlerinin azalacağı dönemde çok ciddi bir katkı sağlayabilir turist başı harcama ortalama seviyesinde sağlık turizmi ile cok artabilir ;,pozitif
159, mavi bayrakta türkiye lideri ;,pozitif
160,şifalı sularıyla ünlü zenginlerin uğrak yeri olan turizm köyü satılığa çıkarıldı;,negatif
161,yunanistan türk turist kabul etmiyormuş e gasp ettikleri ege adalarına mültecileri yerleştirseler bari ;,negatif
162,istanbul un fethi nin yılı kutlu aziz şehitlerimizin mekanı cennet olsun ;,negatif
163,yapılan araştırmalara göre rus turistlerin yüzde ı türkiye de tatil yapmayı planlıyor  ;,negatif
164,yunanistan dan hızlı turizm hamlesi yunanistan haziran dan itibaren ülkeden turist kabul edeceğini açıkladı liste temmuzda yenilenecekmiş açıklanan ülkeler arasında ise komşu türkiye yer almıyor neden ;,negatif
165,rusya dan rus turiste türkiye yolunu açan açıklama antalya ses gazetesi   ;,pozitif
166,turizm sonunda açılıyor mutluyum mutlu olun turizm;,pozitif
167,mardin de türbinli rüzgar santrali kurulacak;,pozitif
168,sayın bakan albayrak yeni eko pakette turizm destek açıklaması var turizm için özel krediler açıklanacak vatandaşa ;,negatif
169,trip com grubu yılının ilk üç ayına ait finansal verileri basınla paylaştı;,pozitif
170,türkiye büyük fırsatları kaçırıyor gibi geliyor bu aralar maske satışına kısıtlama koyulmuş büyük ticari gelir kaçırılmıştır tr tekstil sektörü içeri ve dışarıyı besleyecek kapasitededir turizm konusunda da hala öncelik verilecek ülkeler açıklanmadı ölüm ve vaka sayıları;,negatif
171,bir kadına saldırmışlardı mahalleli tedirgin sokak köpekleri dehşet saçıyor burası yenişehir palmiye ve lifa siteleri civarı ;,negatif
172,turizmde yaşanan daralmanın önüne geçmek için alternatif pazar kanalları yaratılmalı;,negatif
173,mahalle sakinlerinden belediyeye ve doğalgaz firmasına doğalgaz tepkisi;,negatif
174,turizm sezonu açılış belirsizliği türk turizminini vurabilir dogrusu ;,negatif
175,bodrum modern otogarına kavuşuyor;,pozitif
176,bugün çok mutlu olmalıyız çünkü güvercin adamızın kalesi unesco dünya mirası geçici listesinde ;,pozitif
177,bu sezon dan umudunu kesen tek ben miyim  ;,negatif
178,tarihi ankara kalesi sokaklari hayat bulacak ;,pozitif
179,görünmeyen inciraltı ndan turizm bakanına davet var ;,negatif
180,easyjet dün yaptığı basın açıklamasında covid krizi nedeniyle düşen talep neticesinde maliyet önlemi olarak mevcut filosunda ve işgücünde tasarrufa gideceğini duyurdu ;,negatif
181,alanya turistik işletmeciler derneği başkanı burhan sili sağlık ve hijyen standartları misafirlerimizin tatil seçiminde eskisinden daha fazla önem taşıyacak dedi ;,pozitif
182,katid otellere hijyen eğitimi verecek;,pozitif
183,turizm i açalım en azından yerli turist gelsin diyoruzda kimin tatil için maddi manevi gücü kaldı yerli aşı ve ilaç bulma işine yüklenelim şimdilik mesafe maske musluk tek çözüm aşı ;,negatif
184,baraj gölündeki minareye kayıkla ulaşıyorlar;,pozitif
185,avrupa birligi sene sonuna kadar ulke ab ulkeleri disinda diger ulkelere cikisi yasakladi avrupadan turist bekleyen isletmeler bu sene iflasin esigindeler avrupa ulkeleri turizm gelirlerini bu yasakla tedavi edicek;,negatif
186,ilk sağlıklı turizm belgesi antalya ya verildi ;,pozitif
187,matt hancock ingilizlerin yurt dışına tatile gidebileceklerini duyurdu şimdi türkiye yunanistan italya ispanya turist kapma savaşları başlayacak elini çabuk tutan kazanır  ;,negatif
188,en çok turistin geldiği ülkeleri gösteren harita turkiye  ;,pozitif
189,turizm esnafıyım vergi afı bekliyorum hacizlerin kaldırılması bize nefes aldırır boğuluyoruzz;,negatif
190,fitness salonları haziran dan itibaren sosyal mesafe ve triaj kurallarına uygun olarak açılacak öncelikli olarak ağırlık malzemeleri ardından aerobik bölümü hizmete açılacak;,pozitif
191,turizm işçileri yunanistan da ayaklanmış turizm bu sene kayıp ;,negatif
192,çeşme otelcileri türob a üye oldu;,pozitif
193, şehirlerarası seyahatlerde dilekçe gerekmiyecek açık havada temas gerektirmeyen spor yarışmaları seyircisiz yapılacak;,negatif
194,türkiye ve dünya turizmi hakkında kilit bilgiler içeren güzel bir yazı olmuş ;,pozitif
195,gurur duyduğumuz bir güncellemeyi sizlerle paylaşmak isterim turizm iyileşeceğiz;,pozitif
196,cumhurbaşkanı recep tayyip erdoğan kabine toplantısı sonrası yaptığı açıklamayla ilde uygulanan şehirlerarası seyahat yasağının haziran itibariyle kaldırılacağını duyurdu;,negatif
197,avrupa nın en büyük tur operatörlerinden tui nin britanya kolu tui uk tatil operasyonlarını temmuz a kadar ertelediğini ve haziran a kadar tüm rezervasyonları iptal ettiğini duyurdu;,negatif
198,turizm tuzu kuru olanlarda hep aynı laf aman normalleşelim turizm e bir şey olmasın diye dalga geçiyorlar ama biz turizmciler aydır çalışmıyoruz yani cebimize kuruş girmiyor;,negatif
199,gökyüzünden mardine yükseliyoruz ;,pozitif
200,konyaaltı sahilinde sosyal mesafeli tatil düzenlemesi ;,negatif
201,kültür ve turizm bakanı ersoy otellerin yüzde sini açabilirsek iyi olacağını düşünüyorum  ;,negatif
202,urfa erkeği milattan önce neyse milattan sonra da odur uzanıp ense yapmak ruhumuzda var ;,pozitif
203,şehirlerarası seyahat sınırlaması kaldırılıyor ;,negatif
204,cumhurbaşkanı erdoğan plajlar milli parklar ve bahçeler belirlenen kurallar dahilinde hazarin itibariyle faaliyet geçecek ;,pozitif
205,vanın kimliği turizm olsun yüzlerce turistik mekanımız var bir yerden başlayalım    samimiyetinizi gösterin ;,pozitif
206,türk hava yolları bugün kamuoyu aydınlatma platformu na gönderdiği açıklamayla yılının birinci çeyreğine ait finansal verilerini paylaştı;,negatif
207,turizm tedbirleri alinmis goruntu yildizli otel robotlu falan yani tatil virutik nedenlerle de yine zengine kısmet o tedbirleri kucuk isletme nasil alsin ;,negatif
208, gastronomi başkenti gaziantep ;,pozitif
209, belgeli tesisler ön plana çıkacak ;,negatif
210,expedia group bugün yaptığı açıklamayla iş ortaklarına yardımcı olmak için milyon dolar lık bir kaynak ayırdığını duyurdu paketin milyon dolarlık kısmı otelciler için ayrıldı;,negatif
211,sondakika ukrayna ya uluslararası uçuşlar yeniden başlıyor;,pozitif
212,işte kızıltepe de cuma namazı kılınabilecek cami ve mekan bilgileri   ;,pozitif
213,otobüslerde ve trenlerde sosyal mesafe var uçaklarda yok ;,negatif
214,son dakika bakan açıkladı haziran da başlıyor;,pozitif
215,geçtiğimiz günlerde milyon müşterinin bilgilerinin bir siber saldırıyla usulsüz olarak ele geçirildiğini duyuran easyjet verileri çalınan müşteriler tarafından dava ediliyor ;,negatif
216,gazipaşa yaz sezonuna hazırlanıyor;,pozitif
217,bildiğiniz bütün kutu oyunlarını unutun çok yakında biz geliyoruz;,pozitif
218,uçak kazalarıyla gündeme gelen boeing max ın üretimi yeniden başladı  ;,negatif
219,salgın süresinde nefes aldıracak ekoturizm rotası  ;,pozitif
220,turizmciler yeni tip koronavirüs kovid normalleşme süreci kapsamında açılacak turizm sezonunda misafirlerini ağırlamayı bekliyor ;,negatif
221, tüm dünyanın gözü antalya da olacaktı fırsat kaçtı  ;,pozitif
222,kararı için türkiye deki koşullara bakacağız ;,pozitif
223,antalya da kapalı olan oteller sezonuna hazır  ;,pozitif
224, verilerinin yer aldığı dünya turizm örgütü unwto mayıs barometresi açıkladı ;,pozitif
225,antalya da sosyal mesafeli plaj uygulaması başlıyor;,negatif
226,haziran da yelken açacaklar ;,pozitif
227,almanya seyahat yasağını tekrar gözden geçirecek;,negatif
228,gyo lar ve turizm hareketli olur mu bugün acaba ;,pozitif
229,yasaklar her zaman zararlıdır burnumuzun dibindeki adaları göremeyenler var kaldıki ülkemiz yunanlılara göre çok ucuz çok rahatsız olsamda ticaret hareketliliği olur lehimize  ;,negatif
230,ispanya da temmuz dan itibaren yurt dışından gelen turistlere günlük karantina uygulanmayacak;,pozitif
231,japonya seyahat acentelerinden tatil satın alan vatandaşlarına günlük bin yen destek vereceğini açıkladı destek dediğin böyle olur biz havanda su dövmeye devam ediyoruz turizm;,negatif
232,yaz ayları yaklaşırken pandemi ye karşı turizm sektöründe ne gibi tedbirler alınacak  ;,negatif
233,mak danışmanlık son verileri açıkladı sonuçlar çok vahim ;,negatif
234, topaloğlu kemer şu anda turizm sezonuna hazır biz hem yerli hem yabancı misafirlerimizi kemer e bekliyoruz;,negatif
235,havayolu taşımacılığının tekrar başlamasına kısa bir süre kala turizm bakanlığı sağlık bakanlığı koordinasyonunda havaalanlarında uygulanacak covid tedbirleriyle ilgili bir sertifikasyon genelgesi yayımladı;,pozitif
236,güney kıbrıs tatil sonrası koronavirüse yakalananların masraflarını karşılayacak;,pozitif
237,bm dünya turizm örgütü istanbul doha ve dubai salgın sonrasında turizmde pilot projelerin lideri olacak;,pozitif
238,çeşme turizm sezonuna hazırlandı;,negatif
239,turizm esnafıyım vergi afı bekliyorum hacizlerin kaldırılması bize nefes aldırır boğuluyoruzz ;,negatif
240,antalya belediye turizm çalgı çengiyi şişirmek için kullanmasını bilmediğiniz konuşamadığınız yazamadığınız dille ki artık dili de kullanmıyorsunuz osuruktan teyyare işleri şişireceğiz diye kıvranmayın cehalet paçalarınızdan akıyor ;,negatif
241,işte konyaaltı sahili nin yeni düzeni ;,negatif
242,berlin de turizmciler sokaklara indi ;,negatif
